"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5","coef_h1.76_OPT","se_h1.76_OPT","pval_h1.76_OPT","n_l_h1.76_OPT","n_r_h1.76_OPT"
"no_bb_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"cc_avg",81.3537,10935.9413,0.982,3,8,7.725,81.3656,0.1901,9,17,5.6679,17.1046,0.5456,19,26,5.555,13.4649,0.6214,37,26
"no_cc_avg",-5.0092,650.8982,0.9692,3,8,-0.7247,5.3117,0.2043,9,17,-0.4804,1.0974,0.3587,19,26,-0.3734,0.8317,0.3491,37,26
"IM_2020",-2.7566,2438.2621,0.2535,3,8,-0.9717,10.1705,0.6325,9,17,-0.1377,2.6569,0.342,19,26,0.3097,2.0017,0.4686,37,26
"no_IM_2020",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"IE",38.8317,20844.5492,0.2726,3,8,-9.263,55.4852,0.3548,9,17,-7.7489,13.4853,0.3937,19,26,-5.3653,12.4329,0.2994,37,26
"no_IE",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"TCVCU",9.4645,1301.7974,0.9699,3,8,0.4085,12.4964,0.355,9,17,0.4997,4.8528,0.5165,19,26,0.3435,3.4893,0.6396,37,26
"no_TCVCU",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"ICE",38.2294,21462.5817,0.2705,3,8,-9.5234,55.5847,0.3665,9,17,-7.7775,13.6645,0.3719,19,26,-5.2825,12.6736,0.2947,37,26
"no_ICE",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"VIVPAR_HAB",106175.0396,223804368.5161,0.2503,3,8,-65074.1472,478991.2925,0.9202,9,17,-10780.5578,133623.1404,0.2021,19,26,10713.2485,124348.5703,0.4854,37,26
"no_VIVPAR_HAB",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"POBTOT",46063.6108,826167110.6712,0.2486,3,8,-267070.7167,1833147.7882,0.8682,9,17,-69534.4612,502762.5144,0.2016,19,26,14176.9331,461511.22,0.4427,37,26
"no_POBTOT",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"pct_VPH_SINTIC",0.0086,2.449,0.2987,3,8,0.0046,0.0307,0.4298,9,17,0.0019,0.0079,0.1508,19,26,-6e-04,0.0058,0.1873,37,26
"no_pct_VPH_SINTIC",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"pct_VPH_C_ELEC",-0.2577,54.5308,0.4025,3,8,0.0053,0.2946,0.228,9,17,-0.0091,0.0699,0.8432,19,26,-0.0175,0.0573,0.8989,37,26
"no_pct_VPH_C_ELEC",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"pct_VPH_AGUADV",-0.3033,62.3071,0.3931,3,8,-0.0132,0.3373,0.3107,9,17,-0.0263,0.0809,0.852,19,26,-0.0257,0.0675,0.7035,37,26
"no_pct_VPH_AGUADV",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"pct_VPH_PISODT",-0.2198,49.9821,0.3722,3,8,-0.0149,0.4201,0.3453,9,17,-0.0072,0.0985,0.726,19,26,-0.0056,0.0719,0.8064,37,26
"no_pct_VPH_PISODT",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"pct_VPH_PISOTI",-0.0344,5.2479,0.9145,3,8,0.0206,0.2019,0.7938,9,17,-0.0013,0.0535,0.3657,19,26,-0.0122,0.0376,0.475,37,26
"no_pct_VPH_PISOTI",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
