"covariate","coef_h10","se_h10","pval_h10","n_l_h10","n_r_h10","coef_h15","se_h15","pval_h15","n_l_h15","n_r_h15","coef_h20","se_h20","pval_h20","n_l_h20","n_r_h20","coef_h25","se_h25","pval_h25","n_l_h25","n_r_h25","coef_h30","se_h30","pval_h30","n_l_h30","n_r_h30","coef_h172.36_OPT","se_h172.36_OPT","pval_h172.36_OPT","n_l_h172.36_OPT","n_r_h172.36_OPT"
"no_VIVPAR_HAB",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"POBTOT",242917.4,425699.2197,0.3681,9,10,100948.5876,334780.7499,0.2997,14,15,24249.7142,288939.8683,0.4283,19,20,8292.8732,254112.4673,0.6691,24,25,9973.1728,226474.7509,0.8545,29,30,169384.9858,105623.3741,0.7304,60,173
"no_POBTOT",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"pct_VPH_SINTIC",-0.0084,0.0087,0.1787,9,10,-0.0043,0.0061,0.0694,14,15,-0.003,0.005,0.1506,19,20,-0.0026,0.0042,0.2624,24,25,-0.0034,0.0037,0.4809,29,30,-0.0039,0.0025,0.2993,60,173
"no_pct_VPH_SINTIC",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"pct_VPH_C_ELEC",0.04,0.0439,0.2025,9,10,0.0265,0.0344,0.1058,14,15,0.0211,0.0277,0.1692,19,20,0.0198,0.0241,0.231,24,25,0.0193,0.022,0.2495,29,30,-0.0025,0.0133,0.4496,60,173
"no_pct_VPH_C_ELEC",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"pct_VPH_AGUADV",0.0335,0.0522,0.2084,9,10,0.0185,0.0407,0.2715,14,15,0.0151,0.0349,0.4823,19,20,0.0157,0.031,0.5702,24,25,0.0171,0.0282,0.5981,29,30,-8e-04,0.0184,0.2923,60,173
"no_pct_VPH_AGUADV",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"pct_VPH_PISODT",0.0638,0.0684,0.1624,9,10,0.0376,0.0506,0.1048,14,15,0.0285,0.042,0.1772,19,20,0.0258,0.0352,0.2432,24,25,0.0277,0.0307,0.3163,29,30,0.0077,0.0169,0.2397,60,173
"no_pct_VPH_PISODT",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
