"CVEGEO","NOMGEO","VIVPAR_HAB","no_VIVPAR_HAB","POBTOT","no_POBTOT","pct_VPH_SINTIC","no_pct_VPH_SINTIC","pct_VPH_C_ELEC","no_pct_VPH_C_ELEC","pct_VPH_AGUADV","no_pct_VPH_AGUADV","pct_VPH_PISODT","no_pct_VPH_PISODT","pct_VPH_PISOTI","no_pct_VPH_PISOTI","pct_VPH_1CUART","no_pct_VPH_1CUART"
"07043","Ixtacomitán",2658,0,10961,0,0.09104589917231,0,0.960120391271633,0,0.957486832204665,0,0.899548532731377,0,0.0963130173062453,0,0.109480812641084,0
"07017","Cintalapa de Figueroa",21723,0,88106,0,0.0495327533029508,0,0.98255305436634,0,0.926989826451227,0,0.91985453206279,0,0.0805137411959674,0,0.103576854025687,0
"07119","Santiago el Pinar",891,0,4959,0,0.36026936026936,0,1.01459034792368,0,1.00561167227834,0,0.792368125701459,0,0.230078563411897,0,0.105499438832772,0
"07116","Marqués de Comillas",2896,0,12892,0,0.24585635359116,0,0.972030386740331,0,0.785566298342541,0,0.897790055248619,0,0.0883977900552486,0,0.122237569060773,0
"07060","Ocotepec",2924,0,14088,0,0.288303693570451,0,0.988030095759234,0,0.949384404924761,0,0.787277701778386,0,0.211012311901505,0,0.137482900136799,0
"07058","Nicolás Ruíz",1040,0,4765,0,0.0971153846153846,0,0.994230769230769,0,0.990384615384615,0,0.909615384615385,0,0.0894230769230769,0,0.266346153846154,0
"07041","La Independencia",11033,0,46409,0,0.0932656575727363,0,0.997099610260129,0,0.935738239825977,0,0.925133689839572,0,0.0788543460527508,0,0.0253784102238738,0
"07040","Huixtla",14221,0,53242,0,0.0471134238098587,0,0.98670979537304,0,0.924899796076225,0,0.914422333169257,0,0.0862105337177414,0,0.168131636312496,0
"07056","Mitontic",2704,0,13755,0,0.587647928994083,0,0.994452662721893,0,0.75,0,0.731508875739645,0,0.270710059171598,0,0.0580621301775148,0
"07039","Huitiupán",6246,0,27893,0,0.282100544348383,0,0.991194364393212,0,0.951008645533141,0,0.737271853986551,0,0.266730707652898,0,0.131123919308357,0
"07099","La Trinitaria",20856,0,83111,0,0.0624280782508631,0,0.985855389336402,0,0.835395090141926,0,0.938339087073264,0,0.0604622171077867,0,0.0386459532029152,0
"07097","Tonalá",25486,0,91913,0,0.0333124068115828,0,0.992113317115279,0,0.9316879855607,0,0.966569881503571,0,0.0340579141489445,0,0.16361924193675,0
"07096","Tila",15039,0,83505,0,0.332801383070683,0,0.978921470842476,0,0.925859432143095,0,0.729569785225081,0,0.291242768801117,0,0.0702839284526897,0
"07118","San Andrés Duraznal",1309,0,6047,0,0.481283422459893,0,0.990068754774637,0,0.99083269671505,0,0.920550038197097,0,0.080977845683728,0,0.12070282658518,0
"07122","El Parral",4263,0,15587,0,0.0356556415669716,0,0.979357260145437,0,0.962702322308234,0,0.939244663382594,0,0.0581749941355853,0,0.216279615294394,0
"07038","Huixtán",4224,0,22975,0,0.265861742424242,0,1.05492424242424,0,0.859848484848485,0,0.856297348484849,0,0.229876893939394,0,0.0203598484848485,0
"07001","Acacoyagua",4378,0,17994,0,0.0712654179990863,0,0.985609867519415,0,0.938099588853358,0,0.968250342622202,0,0.0388305162174509,0,0.154179990863408,0
"07036","La Grandeza",1536,0,7701,0,0.0572916666666667,0,0.993489583333333,0,0.824869791666667,0,0.927734375,0,0.072265625,0,0.021484375,0
"07002","Acala",5372,0,21187,0,0.0437453462397617,0,0.995346239761727,0,0.975428145941921,0,0.946574832464631,0,0.0599404318689501,0,0.3265078183172,0
"07003","Acapetahua",7535,0,26899,0,0.0735235567352356,0,0.994027869940279,0,0.842468480424685,0,0.922362309223623,0,0.0834771068347711,0,0.163503649635036,0
"07011","Bella Vista",4520,0,20157,0,0.12212389380531,0,0.977212389380531,0,0.836061946902655,0,0.87787610619469,0,0.121681415929204,0,0.040929203539823,0
"07012","Berriozábal",16139,0,64632,0,0.0363095606914927,0,0.990272011896648,0,0.830782576367805,0,0.905446434103724,0,0.0968461490798686,0,0.140343267860462,0
"07072","Pueblo Nuevo Solistahuacán",6383,0,29636,0,0.251449161836127,0,1.0061099796334,0,0.960833463888454,0,0.804010653297822,0,0.213692621024597,0,0.115306282312392,0
"07037","Huehuetán",9539,0,36333,0,0.0610126847677954,0,0.985742740329175,0,0.832162700492714,0,0.902924834888353,0,0.0972848306950414,0,0.167522801132194,0
"07023","Chamula",22392,0,101967,0,0.251563058235084,0,0.996114683815648,0,0.831145051804216,0,0.806091461236156,0,0.203376205787781,0,0.104590925330475,0
"07010","Bejucal de Ocampo",1565,0,7365,0,0.073482428115016,0,0.99297124600639,0,0.6,0,0.933546325878594,0,0.0670926517571885,0,0.0274760383386581,0
"07004","Altamirano",7044,0,36160,0,0.323537762634867,0,1.06445201590006,0,0.947189097103918,0,1.02498580352073,0,0.0755252697331062,0,0.0386144236229415,0
"07005","Amatán",5661,0,24512,0,0.255078608019784,0,0.950538774068186,0,0.888712241653418,0,0.744921391980216,0,0.254195371842431,0,0.0722487193075428,0
"07035","Frontera Hidalgo",3645,0,14556,0,0.0598079561042524,0,0.992318244170096,0,0.916872427983539,0,0.915500685871056,0,0.0943758573388203,0,0.224691358024691,0
"07032","Escuintla",7621,0,30896,0,0.0860779425272274,0,1.00747933342081,0,0.939771683506102,0,0.950137777194594,0,0.0824038840047238,0,0.138564492848708,0
"07013","Bochil",7784,0,37263,0,0.158144912641316,0,0.993448098663926,0,0.918165467625899,0,0.842368961973278,0,0.158530318602261,0,0.130010277492292,0
